RESIDENCE,persons,workers,vehicles,output,count
"Roanoke city, Virginia",4-or-more-person household,4-or-more workers,0 vehicles,Estimate,10
"Roanoke city, Virginia",4-or-more-person household,4-or-more workers,0 vehicles,Margin of Error,14
"Roanoke city, Virginia",4-or-more-person household,4-or-more workers,1 vehicle,Estimate,60
"Roanoke city, Virginia",4-or-more-person household,4-or-more workers,1 vehicle,Margin of Error,45
"Roanoke city, Virginia",4-or-more-person household,4-or-more workers,2 vehicles,Estimate,45
"Roanoke city, Virginia",4-or-more-person household,4-or-more workers,2 vehicles,Margin of Error,38
"Roanoke city, Virginia",4-or-more-person household,4-or-more workers,3-or-more vehicles,Estimate,190
"Roanoke city, Virginia",4-or-more-person household,4-or-more workers,3-or-more vehicles,Margin of Error,89
"Salem city, Virginia",Total households,"Total, number of workers in household","Total, vehicles available",Estimate,"10,060"
"Salem city, Virginia",Total households,"Total, number of workers in household","Total, vehicles available",Margin of Error,239
"Salem city, Virginia",Total households,"Total, number of workers in household",0 vehicles,Estimate,610
"Salem city, Virginia",Total households,"Total, number of workers in household",0 vehicles,Margin of Error,171
"Salem city, Virginia",Total households,"Total, number of workers in household",1 vehicle,Estimate,"3,740"
"Salem city, Virginia",Total households,"Total, number of workers in household",1 vehicle,Margin of Error,299
"Salem city, Virginia",Total households,"Total, number of workers in household",2 vehicles,Estimate,"3,355"
"Salem city, Virginia",Total households,"Total, number of workers in household",2 vehicles,Margin of Error,322
"Salem city, Virginia",Total households,"Total, number of workers in household",3-or-more vehicles,Estimate,"2,355"
"Salem city, Virginia",Total households,"Total, number of workers in household",3-or-more vehicles,Margin of Error,235
"Salem city, Virginia",Total households,0 workers,"Total, vehicles available",Estimate,"2,665"
"Salem city, Virginia",Total households,0 workers,"Total, vehicles available",Margin of Error,243
"Salem city, Virginia",Total households,0 workers,0 vehicles,Estimate,380
"Salem city, Virginia",Total households,0 workers,0 vehicles,Margin of Error,131
"Salem city, Virginia",Total households,0 workers,1 vehicle,Estimate,"1,340"
"Salem city, Virginia",Total households,0 workers,1 vehicle,Margin of Error,205
"Salem city, Virginia",Total households,0 workers,2 vehicles,Estimate,715
"Salem city, Virginia",Total households,0 workers,2 vehicles,Margin of Error,140
"Salem city, Virginia",Total households,0 workers,3-or-more vehicles,Estimate,230
"Salem city, Virginia",Total households,0 workers,3-or-more vehicles,Margin of Error,76
"Salem city, Virginia",Total households,1 worker,"Total, vehicles available",Estimate,"4,080"
"Salem city, Virginia",Total households,1 worker,"Total, vehicles available",Margin of Error,302
"Salem city, Virginia",Total households,1 worker,0 vehicles,Estimate,205
"Salem city, Virginia",Total households,1 worker,0 vehicles,Margin of Error,92
"Salem city, Virginia",Total households,1 worker,1 vehicle,Estimate,"2,040"
"Salem city, Virginia",Total households,1 worker,1 vehicle,Margin of Error,275
"Salem city, Virginia",Total households,1 worker,2 vehicles,Estimate,"1,050"
"Salem city, Virginia",Total households,1 worker,2 vehicles,Margin of Error,171
"Salem city, Virginia",Total households,1 worker,3-or-more vehicles,Estimate,785
"Salem city, Virginia",Total households,1 worker,3-or-more vehicles,Margin of Error,158
"Salem city, Virginia",Total households,2 workers,"Total, vehicles available",Estimate,"2,775"
"Salem city, Virginia",Total households,2 workers,"Total, vehicles available",Margin of Error,302
"Salem city, Virginia",Total households,2 workers,0 vehicles,Estimate,25
"Salem city, Virginia",Total households,2 workers,0 vehicles,Margin of Error,26
"Salem city, Virginia",Total households,2 workers,1 vehicle,Estimate,315
"Salem city, Virginia",Total households,2 workers,1 vehicle,Margin of Error,134
"Salem city, Virginia",Total households,2 workers,2 vehicles,Estimate,"1,580"
"Salem city, Virginia",Total households,2 workers,2 vehicles,Margin of Error,257
"Salem city, Virginia",Total households,2 workers,3-or-more vehicles,Estimate,855
"Salem city, Virginia",Total households,2 workers,3-or-more vehicles,Margin of Error,168
"Salem city, Virginia",Total households,3 workers,"Total, vehicles available",Estimate,480
"Salem city, Virginia",Total households,3 workers,"Total, vehicles available",Margin of Error,124
"Salem city, Virginia",Total households,3 workers,0 vehicles,Estimate,0
"Salem city, Virginia",Total households,3 workers,0 vehicles,Margin of Error,22
"Salem city, Virginia",Total households,3 workers,1 vehicle,Estimate,40
"Salem city, Virginia",Total households,3 workers,1 vehicle,Margin of Error,47
"Salem city, Virginia",Total households,3 workers,2 vehicles,Estimate,10
"Salem city, Virginia",Total households,3 workers,2 vehicles,Margin of Error,13
"Salem city, Virginia",Total households,3 workers,3-or-more vehicles,Estimate,430
"Salem city, Virginia",Total households,3 workers,3-or-more vehicles,Margin of Error,120
"Salem city, Virginia",Total households,4-or-more workers,"Total, vehicles available",Estimate,60
"Salem city, Virginia",Total households,4-or-more workers,"Total, vehicles available",Margin of Error,45
"Salem city, Virginia",Total households,4-or-more workers,0 vehicles,Estimate,0
"Salem city, Virginia",Total households,4-or-more workers,0 vehicles,Margin of Error,22
"Salem city, Virginia",Total households,4-or-more workers,1 vehicle,Estimate,0
"Salem city, Virginia",Total households,4-or-more workers,1 vehicle,Margin of Error,22
"Salem city, Virginia",Total households,4-or-more workers,2 vehicles,Estimate,0
"Salem city, Virginia",Total households,4-or-more workers,2 vehicles,Margin of Error,22
"Salem city, Virginia",Total households,4-or-more workers,3-or-more vehicles,Estimate,60
"Salem city, Virginia",Total households,4-or-more workers,3-or-more vehicles,Margin of Error,45
"Salem city, Virginia",1-person household,"Total, number of workers in household","Total, vehicles available",Estimate,"3,265"
"Salem city, Virginia",1-person household,"Total, number of workers in household","Total, vehicles available",Margin of Error,318
"Salem city, Virginia",1-person household,"Total, number of workers in household",0 vehicles,Estimate,350
"Salem city, Virginia",1-person household,"Total, number of workers in household",0 vehicles,Margin of Error,111
"Salem city, Virginia",1-person household,"Total, number of workers in household",1 vehicle,Estimate,"2,220"
"Salem city, Virginia",1-person household,"Total, number of workers in household",1 vehicle,Margin of Error,276
"Salem city, Virginia",1-person household,"Total, number of workers in household",2 vehicles,Estimate,510
"Salem city, Virginia",1-person household,"Total, number of workers in household",2 vehicles,Margin of Error,104
"Salem city, Virginia",1-person household,"Total, number of workers in household",3-or-more vehicles,Estimate,180
"Salem city, Virginia",1-person household,"Total, number of workers in household",3-or-more vehicles,Margin of Error,88
"Salem city, Virginia",1-person household,0 workers,"Total, vehicles available",Estimate,"1,490"
"Salem city, Virginia",1-person household,0 workers,"Total, vehicles available",Margin of Error,225
"Salem city, Virginia",1-person household,0 workers,0 vehicles,Estimate,275
"Salem city, Virginia",1-person household,0 workers,0 vehicles,Margin of Error,102
"Salem city, Virginia",1-person household,0 workers,1 vehicle,Estimate,945
"Salem city, Virginia",1-person household,0 workers,1 vehicle,Margin of Error,183
"Salem city, Virginia",1-person household,0 workers,2 vehicles,Estimate,250
"Salem city, Virginia",1-person household,0 workers,2 vehicles,Margin of Error,69
"Salem city, Virginia",1-person household,0 workers,3-or-more vehicles,Estimate,20
"Salem city, Virginia",1-person household,0 workers,3-or-more vehicles,Margin of Error,23
"Salem city, Virginia",1-person household,1 worker,"Total, vehicles available",Estimate,"1,775"
"Salem city, Virginia",1-person household,1 worker,"Total, vehicles available",Margin of Error,246
"Salem city, Virginia",1-person household,1 worker,0 vehicles,Estimate,75
"Salem city, Virginia",1-person household,1 worker,0 vehicles,Margin of Error,55
"Salem city, Virginia",1-person household,1 worker,1 vehicle,Estimate,"1,275"
"Salem city, Virginia",1-person household,1 worker,1 vehicle,Margin of Error,207
"Salem city, Virginia",1-person household,1 worker,2 vehicles,Estimate,260
"Salem city, Virginia",1-person household,1 worker,2 vehicles,Margin of Error,94
"Salem city, Virginia",1-person household,1 worker,3-or-more vehicles,Estimate,165
"Salem city, Virginia",1-person household,1 worker,3-or-more vehicles,Margin of Error,92
"Salem city, Virginia",1-person household,2 workers,"Total, vehicles available",Estimate,0
"Salem city, Virginia",1-person household,2 workers,"Total, vehicles available",Margin of Error,0
"Salem city, Virginia",1-person household,2 workers,0 vehicles,Estimate,0
"Salem city, Virginia",1-person household,2 workers,0 vehicles,Margin of Error,0
"Salem city, Virginia",1-person household,2 workers,1 vehicle,Estimate,0
"Salem city, Virginia",1-person household,2 workers,1 vehicle,Margin of Error,0
"Salem city, Virginia",1-person household,2 workers,2 vehicles,Estimate,0
"Salem city, Virginia",1-person household,2 workers,2 vehicles,Margin of Error,0
"Salem city, Virginia",1-person household,2 workers,3-or-more vehicles,Estimate,0
"Salem city, Virginia",1-person household,2 workers,3-or-more vehicles,Margin of Error,0
"Salem city, Virginia",1-person household,3 workers,"Total, vehicles available",Estimate,0
"Salem city, Virginia",1-person household,3 workers,"Total, vehicles available",Margin of Error,0
"Salem city, Virginia",1-person household,3 workers,0 vehicles,Estimate,0
"Salem city, Virginia",1-person household,3 workers,0 vehicles,Margin of Error,0
"Salem city, Virginia",1-person household,3 workers,1 vehicle,Estimate,0
"Salem city, Virginia",1-person household,3 workers,1 vehicle,Margin of Error,0
"Salem city, Virginia",1-person household,3 workers,2 vehicles,Estimate,0
"Salem city, Virginia",1-person household,3 workers,2 vehicles,Margin of Error,0
"Salem city, Virginia",1-person household,3 workers,3-or-more vehicles,Estimate,0
"Salem city, Virginia",1-person household,3 workers,3-or-more vehicles,Margin of Error,0
"Salem city, Virginia",1-person household,4-or-more workers,"Total, vehicles available",Estimate,0
"Salem city, Virginia",1-person household,4-or-more workers,"Total, vehicles available",Margin of Error,0
"Salem city, Virginia",1-person household,4-or-more workers,0 vehicles,Estimate,0
"Salem city, Virginia",1-person household,4-or-more workers,0 vehicles,Margin of Error,0
"Salem city, Virginia",1-person household,4-or-more workers,1 vehicle,Estimate,0
"Salem city, Virginia",1-person household,4-or-more workers,1 vehicle,Margin of Error,0
"Salem city, Virginia",1-person household,4-or-more workers,2 vehicles,Estimate,0
"Salem city, Virginia",1-person household,4-or-more workers,2 vehicles,Margin of Error,0
"Salem city, Virginia",1-person household,4-or-more workers,3-or-more vehicles,Estimate,0
"Salem city, Virginia",1-person household,4-or-more workers,3-or-more vehicles,Margin of Error,0
"Salem city, Virginia",2-person household,"Total, number of workers in household","Total, vehicles available",Estimate,"3,690"
"Salem city, Virginia",2-person household,"Total, number of workers in household","Total, vehicles available",Margin of Error,336
"Salem city, Virginia",2-person household,"Total, number of workers in household",0 vehicles,Estimate,220
"Salem city, Virginia",2-person household,"Total, number of workers in household",0 vehicles,Margin of Error,127
"Salem city, Virginia",2-person household,"Total, number of workers in household",1 vehicle,Estimate,895
"Salem city, Virginia",2-person household,"Total, number of workers in household",1 vehicle,Margin of Error,230
"Salem city, Virginia",2-person household,"Total, number of workers in household",2 vehicles,Estimate,"1,725"
"Salem city, Virginia",2-person household,"Total, number of workers in household",2 vehicles,Margin of Error,247
"Salem city, Virginia",2-person household,"Total, number of workers in household",3-or-more vehicles,Estimate,845
"Salem city, Virginia",2-person household,"Total, number of workers in household",3-or-more vehicles,Margin of Error,149
"Salem city, Virginia",2-person household,0 workers,"Total, vehicles available",Estimate,"1,025"
"Salem city, Virginia",2-person household,0 workers,"Total, vehicles available",Margin of Error,192
"Salem city, Virginia",2-person household,0 workers,0 vehicles,Estimate,105
"Salem city, Virginia",2-person household,0 workers,0 vehicles,Margin of Error,86
"Salem city, Virginia",2-person household,0 workers,1 vehicle,Estimate,320
"Salem city, Virginia",2-person household,0 workers,1 vehicle,Margin of Error,105
"Salem city, Virginia",2-person household,0 workers,2 vehicles,Estimate,440
"Salem city, Virginia",2-person household,0 workers,2 vehicles,Margin of Error,112
"Salem city, Virginia",2-person household,0 workers,3-or-more vehicles,Estimate,160
"Salem city, Virginia",2-person household,0 workers,3-or-more vehicles,Margin of Error,67
"Salem city, Virginia",2-person household,1 worker,"Total, vehicles available",Estimate,"1,315"
"Salem city, Virginia",2-person household,1 worker,"Total, vehicles available",Margin of Error,219
"Salem city, Virginia",2-person household,1 worker,0 vehicles,Estimate,105
"Salem city, Virginia",2-person household,1 worker,0 vehicles,Margin of Error,73
"Salem city, Virginia",2-person household,1 worker,1 vehicle,Estimate,460
"Salem city, Virginia",2-person household,1 worker,1 vehicle,Margin of Error,174
"Salem city, Virginia",2-person household,1 worker,2 vehicles,Estimate,420
"Salem city, Virginia",2-person household,1 worker,2 vehicles,Margin of Error,121
"Salem city, Virginia",2-person household,1 worker,3-or-more vehicles,Estimate,330
"Salem city, Virginia",2-person household,1 worker,3-or-more vehicles,Margin of Error,94
"Salem city, Virginia",2-person household,2 workers,"Total, vehicles available",Estimate,"1,350"
"Salem city, Virginia",2-person household,2 workers,"Total, vehicles available",Margin of Error,219
"Salem city, Virginia",2-person household,2 workers,0 vehicles,Estimate,15
"Salem city, Virginia",2-person household,2 workers,0 vehicles,Margin of Error,23
"Salem city, Virginia",2-person household,2 workers,1 vehicle,Estimate,115
"Salem city, Virginia",2-person household,2 workers,1 vehicle,Margin of Error,69
"Salem city, Virginia",2-person household,2 workers,2 vehicles,Estimate,865
"Salem city, Virginia",2-person household,2 workers,2 vehicles,Margin of Error,198
"Salem city, Virginia",2-person household,2 workers,3-or-more vehicles,Estimate,355
"Salem city, Virginia",2-person household,2 workers,3-or-more vehicles,Margin of Error,114
"Salem city, Virginia",2-person household,3 workers,"Total, vehicles available",Estimate,0
"Salem city, Virginia",2-person household,3 workers,"Total, vehicles available",Margin of Error,0
"Salem city, Virginia",2-person household,3 workers,0 vehicles,Estimate,0
"Salem city, Virginia",2-person household,3 workers,0 vehicles,Margin of Error,0
"Salem city, Virginia",2-person household,3 workers,1 vehicle,Estimate,0
"Salem city, Virginia",2-person household,3 workers,1 vehicle,Margin of Error,0
"Salem city, Virginia",2-person household,3 workers,2 vehicles,Estimate,0
"Salem city, Virginia",2-person household,3 workers,2 vehicles,Margin of Error,0
"Salem city, Virginia",2-person household,3 workers,3-or-more vehicles,Estimate,0
"Salem city, Virginia",2-person household,3 workers,3-or-more vehicles,Margin of Error,0
"Salem city, Virginia",2-person household,4-or-more workers,"Total, vehicles available",Estimate,0
"Salem city, Virginia",2-person household,4-or-more workers,"Total, vehicles available",Margin of Error,0
"Salem city, Virginia",2-person household,4-or-more workers,0 vehicles,Estimate,0
"Salem city, Virginia",2-person household,4-or-more workers,0 vehicles,Margin of Error,0
"Salem city, Virginia",2-person household,4-or-more workers,1 vehicle,Estimate,0
"Salem city, Virginia",2-person household,4-or-more workers,1 vehicle,Margin of Error,0
"Salem city, Virginia",2-person household,4-or-more workers,2 vehicles,Estimate,0
"Salem city, Virginia",2-person household,4-or-more workers,2 vehicles,Margin of Error,0
"Salem city, Virginia",2-person household,4-or-more workers,3-or-more vehicles,Estimate,0
"Salem city, Virginia",2-person household,4-or-more workers,3-or-more vehicles,Margin of Error,0
"Salem city, Virginia",3-person household,"Total, number of workers in household","Total, vehicles available",Estimate,"1,530"
"Salem city, Virginia",3-person household,"Total, number of workers in household","Total, vehicles available",Margin of Error,233
"Salem city, Virginia",3-person household,"Total, number of workers in household",0 vehicles,Estimate,25
"Salem city, Virginia",3-person household,"Total, number of workers in household",0 vehicles,Margin of Error,29
"Salem city, Virginia",3-person household,"Total, number of workers in household",1 vehicle,Estimate,350
"Salem city, Virginia",3-person household,"Total, number of workers in household",1 vehicle,Margin of Error,133
"Salem city, Virginia",3-person household,"Total, number of workers in household",2 vehicles,Estimate,530
"Salem city, Virginia",3-person household,"Total, number of workers in household",2 vehicles,Margin of Error,116
"Salem city, Virginia",3-person household,"Total, number of workers in household",3-or-more vehicles,Estimate,625
"Salem city, Virginia",3-person household,"Total, number of workers in household",3-or-more vehicles,Margin of Error,164
"Salem city, Virginia",3-person household,0 workers,"Total, vehicles available",Estimate,130
"Salem city, Virginia",3-person household,0 workers,"Total, vehicles available",Margin of Error,85
"Salem city, Virginia",3-person household,0 workers,0 vehicles,Estimate,0
"Salem city, Virginia",3-person household,0 workers,0 vehicles,Margin of Error,22
"Salem city, Virginia",3-person household,0 workers,1 vehicle,Estimate,75
"Salem city, Virginia",3-person household,0 workers,1 vehicle,Margin of Error,77
"Salem city, Virginia",3-person household,0 workers,2 vehicles,Estimate,10
"Salem city, Virginia",3-person household,0 workers,2 vehicles,Margin of Error,22
"Salem city, Virginia",3-person household,0 workers,3-or-more vehicles,Estimate,45
"Salem city, Virginia",3-person household,0 workers,3-or-more vehicles,Margin of Error,32
"Salem city, Virginia",3-person household,1 worker,"Total, vehicles available",Estimate,560
"Salem city, Virginia",3-person household,1 worker,"Total, vehicles available",Margin of Error,159
"Salem city, Virginia",3-person household,1 worker,0 vehicles,Estimate,25
"Salem city, Virginia",3-person household,1 worker,0 vehicles,Margin of Error,29
"Salem city, Virginia",3-person household,1 worker,1 vehicle,Estimate,205
"Salem city, Virginia",3-person household,1 worker,1 vehicle,Margin of Error,112
"Salem city, Virginia",3-person household,1 worker,2 vehicles,Estimate,185
"Salem city, Virginia",3-person household,1 worker,2 vehicles,Margin of Error,74
"Salem city, Virginia",3-person household,1 worker,3-or-more vehicles,Estimate,140
"Salem city, Virginia",3-person household,1 worker,3-or-more vehicles,Margin of Error,75
"Salem city, Virginia",3-person household,2 workers,"Total, vehicles available",Estimate,635
"Salem city, Virginia",3-person household,2 workers,"Total, vehicles available",Margin of Error,136
"Salem city, Virginia",3-person household,2 workers,0 vehicles,Estimate,0
"Salem city, Virginia",3-person household,2 workers,0 vehicles,Margin of Error,22
"Salem city, Virginia",3-person household,2 workers,1 vehicle,Estimate,70
"Salem city, Virginia",3-person household,2 workers,1 vehicle,Margin of Error,56
"Salem city, Virginia",3-person household,2 workers,2 vehicles,Estimate,330
"Salem city, Virginia",3-person household,2 workers,2 vehicles,Margin of Error,105
"Salem city, Virginia",3-person household,2 workers,3-or-more vehicles,Estimate,235
"Salem city, Virginia",3-person household,2 workers,3-or-more vehicles,Margin of Error,94
"Salem city, Virginia",3-person household,3 workers,"Total, vehicles available",Estimate,205
"Salem city, Virginia",3-person household,3 workers,"Total, vehicles available",Margin of Error,112
"Salem city, Virginia",3-person household,3 workers,0 vehicles,Estimate,0
"Salem city, Virginia",3-person household,3 workers,0 vehicles,Margin of Error,22
"Salem city, Virginia",3-person household,3 workers,1 vehicle,Estimate,0
"Salem city, Virginia",3-person household,3 workers,1 vehicle,Margin of Error,22
"Salem city, Virginia",3-person household,3 workers,2 vehicles,Estimate,0
"Salem city, Virginia",3-person household,3 workers,2 vehicles,Margin of Error,22
"Salem city, Virginia",3-person household,3 workers,3-or-more vehicles,Estimate,205
"Salem city, Virginia",3-person household,3 workers,3-or-more vehicles,Margin of Error,112
"Salem city, Virginia",3-person household,4-or-more workers,"Total, vehicles available",Estimate,0
"Salem city, Virginia",3-person household,4-or-more workers,"Total, vehicles available",Margin of Error,0
"Salem city, Virginia",3-person household,4-or-more workers,0 vehicles,Estimate,0
"Salem city, Virginia",3-person household,4-or-more workers,0 vehicles,Margin of Error,0
"Salem city, Virginia",3-person household,4-or-more workers,1 vehicle,Estimate,0
"Salem city, Virginia",3-person household,4-or-more workers,1 vehicle,Margin of Error,0
"Salem city, Virginia",3-person household,4-or-more workers,2 vehicles,Estimate,0
"Salem city, Virginia",3-person household,4-or-more workers,2 vehicles,Margin of Error,0
"Salem city, Virginia",3-person household,4-or-more workers,3-or-more vehicles,Estimate,0
"Salem city, Virginia",3-person household,4-or-more workers,3-or-more vehicles,Margin of Error,0
"Salem city, Virginia",4-or-more-person household,"Total, number of workers in household","Total, vehicles available",Estimate,"1,580"
"Salem city, Virginia",4-or-more-person household,"Total, number of workers in household","Total, vehicles available",Margin of Error,222
"Salem city, Virginia",4-or-more-person household,"Total, number of workers in household",0 vehicles,Estimate,10
"Salem city, Virginia",4-or-more-person household,"Total, number of workers in household",0 vehicles,Margin of Error,16
"Salem city, Virginia",4-or-more-person household,"Total, number of workers in household",1 vehicle,Estimate,270
"Salem city, Virginia",4-or-more-person household,"Total, number of workers in household",1 vehicle,Margin of Error,119
"Salem city, Virginia",4-or-more-person household,"Total, number of workers in household",2 vehicles,Estimate,595
"Salem city, Virginia",4-or-more-person household,"Total, number of workers in household",2 vehicles,Margin of Error,153
"Salem city, Virginia",4-or-more-person household,"Total, number of workers in household",3-or-more vehicles,Estimate,705
"Salem city, Virginia",4-or-more-person household,"Total, number of workers in household",3-or-more vehicles,Margin of Error,165
"Salem city, Virginia",4-or-more-person household,0 workers,"Total, vehicles available",Estimate,25
"Salem city, Virginia",4-or-more-person household,0 workers,"Total, vehicles available",Margin of Error,20
"Salem city, Virginia",4-or-more-person household,0 workers,0 vehicles,Estimate,0
"Salem city, Virginia",4-or-more-person household,0 workers,0 vehicles,Margin of Error,22
"Salem city, Virginia",4-or-more-person household,0 workers,1 vehicle,Estimate,0
"Salem city, Virginia",4-or-more-person household,0 workers,1 vehicle,Margin of Error,22
"Salem city, Virginia",4-or-more-person household,0 workers,2 vehicles,Estimate,15
"Salem city, Virginia",4-or-more-person household,0 workers,2 vehicles,Margin of Error,16
"Salem city, Virginia",4-or-more-person household,0 workers,3-or-more vehicles,Estimate,10
"Salem city, Virginia",4-or-more-person household,0 workers,3-or-more vehicles,Margin of Error,14
"Salem city, Virginia",4-or-more-person household,1 worker,"Total, vehicles available",Estimate,435
"Salem city, Virginia",4-or-more-person household,1 worker,"Total, vehicles available",Margin of Error,125
"Salem city, Virginia",4-or-more-person household,1 worker,0 vehicles,Estimate,0
"Salem city, Virginia",4-or-more-person household,1 worker,0 vehicles,Margin of Error,22
"Salem city, Virginia",4-or-more-person household,1 worker,1 vehicle,Estimate,100
"Salem city, Virginia",4-or-more-person household,1 worker,1 vehicle,Margin of Error,60
"Salem city, Virginia",4-or-more-person household,1 worker,2 vehicles,Estimate,185
"Salem city, Virginia",4-or-more-person household,1 worker,2 vehicles,Margin of Error,83
"Salem city, Virginia",4-or-more-person household,1 worker,3-or-more vehicles,Estimate,150
"Salem city, Virginia",4-or-more-person household,1 worker,3-or-more vehicles,Margin of Error,83
"Salem city, Virginia",4-or-more-person household,2 workers,"Total, vehicles available",Estimate,790
"Salem city, Virginia",4-or-more-person household,2 workers,"Total, vehicles available",Margin of Error,175
"Salem city, Virginia",4-or-more-person household,2 workers,0 vehicles,Estimate,10
"Salem city, Virginia",4-or-more-person household,2 workers,0 vehicles,Margin of Error,16
"Salem city, Virginia",4-or-more-person household,2 workers,1 vehicle,Estimate,130
"Salem city, Virginia",4-or-more-person household,2 workers,1 vehicle,Margin of Error,99
"Salem city, Virginia",4-or-more-person household,2 workers,2 vehicles,Estimate,385
"Salem city, Virginia",4-or-more-person household,2 workers,2 vehicles,Margin of Error,141
"Salem city, Virginia",4-or-more-person household,2 workers,3-or-more vehicles,Estimate,265
"Salem city, Virginia",4-or-more-person household,2 workers,3-or-more vehicles,Margin of Error,100
"Salem city, Virginia",4-or-more-person household,3 workers,"Total, vehicles available",Estimate,275
"Salem city, Virginia",4-or-more-person household,3 workers,"Total, vehicles available",Margin of Error,91
"Salem city, Virginia",4-or-more-person household,3 workers,0 vehicles,Estimate,0
"Salem city, Virginia",4-or-more-person household,3 workers,0 vehicles,Margin of Error,22
"Salem city, Virginia",4-or-more-person household,3 workers,1 vehicle,Estimate,40
"Salem city, Virginia",4-or-more-person household,3 workers,1 vehicle,Margin of Error,47
"Salem city, Virginia",4-or-more-person household,3 workers,2 vehicles,Estimate,10
"Salem city, Virginia",4-or-more-person household,3 workers,2 vehicles,Margin of Error,13
"Salem city, Virginia",4-or-more-person household,3 workers,3-or-more vehicles,Estimate,225
"Salem city, Virginia",4-or-more-person household,3 workers,3-or-more vehicles,Margin of Error,78
"Salem city, Virginia",4-or-more-person household,4-or-more workers,"Total, vehicles available",Estimate,60
"Salem city, Virginia",4-or-more-person household,4-or-more workers,"Total, vehicles available",Margin of Error,45
"Salem city, Virginia",4-or-more-person household,4-or-more workers,0 vehicles,Estimate,0
"Salem city, Virginia",4-or-more-person household,4-or-more workers,0 vehicles,Margin of Error,22
"Salem city, Virginia",4-or-more-person household,4-or-more workers,1 vehicle,Estimate,0
"Salem city, Virginia",4-or-more-person household,4-or-more workers,1 vehicle,Margin of Error,22
"Salem city, Virginia",4-or-more-person household,4-or-more workers,2 vehicles,Estimate,0
"Salem city, Virginia",4-or-more-person household,4-or-more workers,2 vehicles,Margin of Error,22
"Salem city, Virginia",4-or-more-person household,4-or-more workers,3-or-more vehicles,Estimate,60
"Salem city, Virginia",4-or-more-person household,4-or-more workers,3-or-more vehicles,Margin of Error,45