attr_tract,HBO,HBShop,HBW,NHB,tothh,retl,manu,offi,gved,othr,totemp
53033000100,8918.300526833818,1023.9426410064896,6150.605427268217,470.203608114245,3779,508,121,680,28,199,1535
53033000200,25786.84108471043,148.13018462442383,0,10282.166218645758,3654,146,0,605,264,117,1189
53033000300,38.9776939130205,12.9925646376735,0,850.092228227353,1187,50,0,574,0,0,766
53033000401,1215.001112168588,477.8623408772501,83.1000000000004,2788.6539025989614,3760,385,0,773,211,99,1467
53033000402,5079.201321768174,352.9180805875243,0,5304.380605937295,2437,97,53,981,27,124,1281
53033000500,0,0,0,98.9304435350703,1251,0,0,96,2,93,197
53033000600,9786.705020375039,4217.268178519106,1936.9525929682472,32234.168725099284,3413,997,0,4017,527,101,6553
53033000700,5659.09046658748,32.37277097333316,177.94155772539713,4202.364744922833,2222,315,0,967,19,89,1493
53033000800,1652.645840609982,1.0768688036748475,0,2217.6708134447904,1067,0,0,33,61,15,125
53033000900,2074.899388820691,0,0,4.25,868,0,0,80,0,5,121
53033001000,805.7391763475501,552.704248696292,383.1250900194766,186.300000000003,765,45,0,475,436,15,1010
53033001100,0,0,8.66706154359484,0,1092,106,0,228,0,32,399
53033001200,13192.201302626783,2762.1503192568935,3871.305049201022,14166.3314706862,3781,2164,40,3947,61,47,6261
53033001300,2290.9580453839794,524.6426463183332,141.28517183413732,3444.7751431212064,2263,97,92,842,767,648,2447
53033001400,17850.939084746657,372.3671528626183,0,828.7676094624929,2333,289,0,478,61,23,909
53033001500,500.165327415628,0,0,0,1118,0,0,53,0,39,95
53033001600,7756.521382964701,561.843345997382,528.3975472795196,3165.201284744409,1858,212,0,456,182,87,970
53033001701,6481.965990534368,1436.1107781476976,127.60596302916593,2069.237828522974,2000,479,0,761,22,37,1317
53033001702,294.7751648689878,0,11.9363278043855,280.3220590890682,2274,0,17,748,1,79,856
53033001800,2421.8400961278753,1300.2661917371015,106.47439919026479,1524.4800252417883,2289,67,0,321,21,18,478
53033001900,9627.138187184983,980.9389115015832,827.5181589401533,1943.8314155617466,2264,32,0,3487,827,207,4553
53033002000,180.83824105002316,27.2216128790218,292.692228227353,622.9140376853751,1668,75,8,280,53,73,490
53033002100,16370.076995651549,334.799999989628,41.567722060922,3243.0437959633045,1782,19,0,644,66,17,761
53033002200,125.81445821304331,0,2.125,158.2291878185198,2306,0,0,510,0,41,587
53033002400,2040.9747924976102,286.9077250710114,334.799999989628,171.649999994814,1309,0,0,214,132,0,415
53033002500,2295.9724329819214,0,1642.316421115962,218.30970777470347,1311,84,0,586,12,33,772
53033002600,2529.844581418072,610.184205143056,4.031410517093812,965.1732431543116,1935,135,0,488,200,56,956
53033002700,3225.3364927721736,40.58415814791686,951.7670659610686,3272.2531972278607,2462,152,0,775,170,77,1235
53033002800,494.575777818954,37.6606104919371,52.1340974021145,91.96677310686692,2179,94,0,902,33,48,1096
53033002900,1281.2309041343055,52.48200026680977,118.17698629221438,54.36205634168375,1953,131,0,444,47,96,729
53033003000,2131.5339915260856,22.89158348883743,0,1230.8680731058762,2608,136,0,491,52,63,767
53033003100,3229.7591381690345,0,0,128.630584131294,2779,35,0,363,55,75,563
53033003200,3867.3170891339323,92.24256425000878,276.82513851579324,1266.7854610657078,4251,96,191,1546,398,278,2508
53033003300,12512.44941684935,20.775,530.0117101351369,1397.3165202583757,3301,58,13,538,329,104,1044
53033003400,2852.143631939541,28.36013194347236,1121.92383320865,53.2289391697144,1550,29,0,365,61,29,491
53033003500,932.3436501380596,0,148.87196872538712,453.45011186770273,1881,31,74,1407,0,71,1604
53033003600,8802.227367664762,397.85432757931466,150.89554338445691,2914.7571109006885,3542,473,29,2224,82,137,2945
53033003800,10038.145184141424,9.79291285882856,0,173.93728166857227,868,0,0,266,135,0,414
53033003900,10539.599999673503,0,657.6593312599424,0,1191,149,0,218,75,33,487
53033004000,3821.6820357611377,0,901.9094548485962,1927.8477092314376,1393,0,0,635,812,0,1461
53033004100,3177.3603775753645,11782.683913575444,2922.1280365716075,2262.2183023019084,2879,44,0,111,133,111,0
53033004200,4473.036856186451,288.4998895968479,635.1928336961281,5282.684747834417,3331,0,56,856,102,54,1255
53033004301,5986.280130673054,1761.5657006088084,1452.4514831157458,13203.247165030138,1450,1479,53,2180,0,53,3764
53033004302,1715.2269392501403,706.826286430824,5.009976775267013,243.31362875956518,1511,0,0,483,2,0,534
53033004400,12811.423248983185,1726.6170926273353,3006.4084271846195,5606.812946835926,2686,330,0,971,60,59,1419
53033004500,443.18373686332944,128.730961456766,13.75353525549177,96.56699342938555,1024,0,0,319,78,38,472
53033004600,8130.559272063598,538.2484186772781,53.94446876698933,14853.119524713806,1447,0,0,287,59,38,395
53033004700,32000.381489131247,8163.622684302845,7322.262459949613,17252.567290752104,5328,1598,1057,7469,204,1410,11739
53033004800,2188.60477069592,0,374.36120780209757,283.07041585330074,2202,142,201,1023,40,370,1777
53033004900,2461.221163001098,518.17968466923,7388.853512207467,6800.969975068493,3754,345,575,3868,96,262,5145
53033005000,11701.199805866254,450.4282798054934,647.2058630484361,4905.732736368083,2061,208,0,1554,516,165,2546
53033005100,3436.6897899317137,390.0048474231084,28.2388972866165,2457.786772960308,1655,147,0,953,0,16,1128
53033005200,8246.201468496034,671.8861029482645,1329.0976851492069,3642.260835797595,2959,419,0,1298,83,144,2069
53033005301,37052.06835704018,4747.2142858029,17849.261642318757,25908.130276155603,2864,901,0,2539,60,0,3530
53033005302,18622.927823932507,621.9005277692826,72593.86481063947,16609.621642971244,127,114,0,511,28894,55,29584
53033005400,7773.244807039331,64.6738239075409,1966.7328028303605,1080.587506548859,3028,247,156,4809,131,1230,6572
53033005600,1658.4892448550631,0,9922.24233319904,632.5108104190801,2678,78,10,626,12,64,790
53033005700,5042.437336489075,2317.326614636,19913.490450426758,3388.7427759902216,2850,217,0,747,338,170,1790
53033005801,936.0723152500241,8.76574470149073,1158.054278084958,657.8696969606268,2758,147,1020,1683,68,1219,4137
53033005802,18149.270638868067,501.3973389969877,3044.1594254425117,1875.1419738285329,2858,327,1027,1203,192,782,3531
53033005900,605.1313160893511,149.98058446022094,2699.3774022391567,55.70075968281875,2771,65,700,1750,141,835,3493
53033006000,5504.536248858249,0,905.6061683794856,956.7005079802263,2595,78,46,2002,55,329,2510
53033006100,8187.959684475464,1345.3414466000854,6148.767515037476,9410.991133306992,2984,184,59,2554,128,202,3126
53033006200,19753.588557417457,1005.47766048441,1016.7188802408183,938.2675331798316,1651,42,0,766,85,9,917
53033006300,5404.83433934523,1938.8096181500614,6.346607225137083,10010.05448162328,2631,146,65,1296,51,77,1636
53033006400,3182.22496279259,0,637.512714342219,1111.6797191238984,1369,0,33,282,62,42,457
53033006500,2052.4059018476596,0,526.3482097831139,1024.6763875468498,2481,24,0,492,117,43,675
53033006600,3401.110064927902,1089.9351749678942,33028.10861973158,2408.508095376095,2390,0,411,8468,29,120,9219
53033006700,23259.10269635119,37.56785477414132,8624.801576521713,4064.1470811734584,4728,108,61,5328,211,744,6451
53033006800,3531.613204722605,2882.0224640855336,51.6780175537937,1513.7102507351344,1389,405,0,1597,216,29,2266
53033006900,7938.5229771353215,2398.581010626381,0,3467.042744600945,2299,48,0,894,10,30,982
53033007000,3888.2698912138785,545.9260698615742,945.8143179424213,23007.575665854758,5035,247,0,1882,76,61,2265
53033007100,8224.670325743562,630.1919365889821,3165.592755409742,2479.6683279355657,2883,256,693,7705,1499,1740,11894
53033007200,6402.505949853431,775.4363015089796,46052.324806610326,20276.260754200342,5974,623,490,17352,1542,1740,21747
53033007300,6995.255865547163,755.5947898444128,41077.240772519115,15140.91369875948,4291,0,0,21046,756,1626,57092
53033007401,3875.5812795483344,606.7117258414032,0,2184.145393723299,3654,208,0,480,15,0,737
53033007402,2554.4732905847354,370.7805260770639,973.0664036680997,2264.2321487946215,3529,79,0,778,8,0,910
53033007500,14296.321577070497,1612.5592649582582,6619.796927815782,9107.344346959282,5753,549,168,5035,203,313,6268
53033007600,3248.305749657004,1351.076628949211,557.898051191577,1833.7708853705535,2180,94,0,1202,68,14,1380
53033007700,684.1353390774929,24.799462460098,2315.366365083488,354.28297006141133,2377,164,0,745,0,37,953
53033007800,4339.385746165055,825.9705845259355,68.00997730845246,147.11508264133371,2291,58,0,2501,119,167,2961
53033007900,9718.915136401476,4275.994794054549,162.1107005750956,3781.9577190516598,3313,421,0,1807,0,88,2451
53033008001,5417.366139713932,417.67096177342063,7706.156128787469,3781.136970657183,4507,0,884,5836,1079,1217,10633
53033008002,60390.96513481217,359.04247739977734,7407.89882870982,68722.87456263576,2479,299,346,5431,40,894,7010
53033008100,83765.160002846,6530.573226948997,102408.0202491197,238682.23198917814,2748,2500,658,54819,10151,2612,70740
53033008200,5404.1618861834495,899.0403215545784,31989.52111344414,13183.445172285883,2810,2801,18,23521,1155,895,28392
53033008300,2037.0081559002872,12677.548613492925,17093.195325256547,1161.1915875070242,2103,86,0,6793,0,0,6897
53033008400,6373.483671511292,1659.380511450326,7976.6536376554695,13737.361519673444,3108,486,0,8263,904,47,9750
53033008500,1711.3741027015571,7483.021693337065,30026.889211400183,21627.3829751829,1928,286,13,3913,11976,0,16196
53033008600,13167.674651019963,26.1132031449059,10080.235051333517,15674.071173976976,2042,0,0,4589,296,9,5158
53033008700,1793.6755490171925,554.7285951232699,2075.6587760061184,353.06199376786054,1899,24,11,4112,209,0,4366
53033008800,742.9402136590228,0,365.4897053855252,822.3400240871213,1642,77,0,328,187,18,615
53033008900,5372.18932459205,3687.7735313615763,284.15761404700373,1891.617748096731,2380,76,0,1783,19,25,1961
53033009000,2388.579719139357,266.937412219628,1510.4302354885212,6907.290433172421,1833,901,0,2263,320,243,4217
53033009100,2407.0823594310164,122.2415502345917,4814.270971796127,10525.12975380344,1527,126,70,2510,168,0,2938
53033009200,723.6931538545427,53.69876398333864,3988.2135527697046,2856.0739149826177,1892,190,54,4924,848,490,6505
53033009300,21898.403430159527,5464.656146788374,30732.59463377766,36913.72842060015,1141,2736,3661,21535,8336,12264,48533
53033009400,2865.6865872389994,10.659880037977949,16284.714366389215,1770.777570796325,2696,409,111,2052,119,757,3448
53033009500,11885.276813183458,1062.8682113842458,15207.523862722139,15748.78618061648,2708,232,618,1285,376,51,2562
53033009600,3035.622348906049,85.71289376512026,2.0320338897967827,2410.939049891985,2789,195,6,869,30,54,1154
53033009701,5298.247250492513,0,84.96579988844479,3382.581408857265,3099,14,3,508,55,81,662
53033009702,0,0,1313.38698097807,3673.877946940734,2358,0,0,168,168,53,403
53033009800,13879.671900336689,2681.7349799943236,8423.146013885138,12756.845470313254,3127,337,13,1282,251,151,2034
53033009900,7833.898408726281,15.6242181242728,2406.0068479059432,7510.387188133989,2858,90,709,2256,239,2831,6126
53033010001,9340.979297994894,2130.3496565700375,9477.962404606056,2771.81824722636,1539,236,0,649,3448,79,4501
53033010002,4032.171373670285,146.5518710668832,61.1735764200322,3804.866819455995,1859,78,0,535,18,40,681
53033010100,23452.083318027024,328.9675462261129,10568.900561059143,1528.1277277386598,3105,344,0,1045,272,30,1878
53033010200,704.1703782458484,0,125.06408544197852,895.8322570003944,1954,13,0,432,36,35,530
53033010300,9698.28261480206,6944.299943862063,1407.19448534268,2308.6374046802352,2793,308,0,2235,282,65,2966
53033010401,163.3242641894857,27.7091948693022,0,73.39205595618263,1493,26,0,217,171,15,439
53033010402,5908.5259873965,908.3510892945022,329.2764537683255,305.13441919150694,1730,18,123,199,108,105,553
53033010500,11704.704278791121,831.9216238621183,2634.9026606152106,9081.724850211525,3963,619,43,3528,129,191,4512
53033010600,13178.151280506092,734.9235917011442,2039.193022289665,33742.06805652307,3744,90,15,870,82,127,1185
53033010701,2045.4026906640597,39.005984217633205,372.600000010138,2923.7718213000226,1478,0,0,576,16,9,785
53033010702,25461.28363229242,0,0,0,1547,25,0,197,135,19,384
53033010800,15683.257560572556,299.2716179325323,1777.6766520534306,1168.879251202028,1861,0,369,154,1049,495,2088
53033010900,3281.827326153294,538.0979903145836,14234.260615988504,16532.108004640777,620,768,6457,4729,652,5095,17701
53033011001,1701.9494941518933,1481.3308680718576,64.87434152763502,43.4725612819648,1666,134,0,556,33,24,774
53033011002,1771.1005849349262,0,44.8622324516174,644.2902452083963,1349,0,0,340,249,24,787
53033011101,7224.954460752774,6331.66963208101,15.23999832214565,86.1578621354085,1875,23,0,230,1,6,282
53033011102,59.68133621028214,0,643.4682183171633,405.9057824795109,1486,36,0,930,75,15,1057
53033011200,691.9042253185216,17.2314565482856,515.8050244965351,1695.957451357053,1413,88,1555,2204,140,2456,6443
53033011300,1885.9475430837704,0,121.44953835407,2220.5786543352006,3012,52,430,484,131,461,2578
53033011401,1136.907957063369,0,55.3308545226373,87.9103106103465,1741,0,0,79,177,0,285
53033011402,2769.627115884236,1302.4012563429476,0,428.729303975356,1993,549,0,619,233,141,1588
53033011500,691.1801720598114,348.519804355205,6.346607225137083,2848.0167359033194,1981,20,0,226,87,59,402
53033011600,6302.229487431302,0,0,26097.72928161729,3079,0,0,471,114,87,691
53033011700,53.7650468695615,0,14.7281401316698,35.712323008023105,1746,23,119,255,72,813,1281
53033011800,12770.67627370731,8955.801299580886,1546.549290944224,1619.865813566315,2861,192,0,779,475,75,1533
53033011900,137.4225853621838,0,0,914.5362944821036,2599,0,0,196,57,30,293
53033012000,1608.600000026816,0,622.8,6.346607225137083,1526,15,3,59,67,0,156
53033012100,430.0835920974762,0,15.4295902066056,44.9963411318082,1176,0,0,87,0,0,97
53033020100,550.515438912506,0,0,550.515438912506,1279,0,0,226,50,53,360
53033020200,512.655997632659,512.655997632659,1093.800000041424,1059.555997653371,2103,70,0,1034,178,69,1368
53033020300,12732.466695341953,7450.405988084426,0,18792.583015490283,3100,825,0,1301,144,91,2407
53033020401,9361.6645560411,0,17.3139601726102,7232.866720420472,1440,113,0,535,110,152,930
53033020402,149.7451003978035,0,0,45.8125388273043,2161,0,0,203,120,125,502
53033020500,15384.828580606541,518.7891131634296,575.0859159613037,14187.123568749541,2795,273,11,684,203,89,1260
53033020600,25.985129275347,0,0,25.985129275347,1328,0,0,66,197,27,304
53033020700,27810.833267873342,1014.055921536694,1978.5750000983119,2916.9169094921504,1506,762,0,931,516,25,2263
53033020800,0,0,540.6562500202521,11.61250000000015,1767,36,0,330,0,75,471
53033020900,17622.94614120205,991.886525704988,524.0127583763883,1591.0694399516992,1408,434,35,1143,1207,36,2855
53033021000,3963.9755229513057,4076.616845649223,747.6092262090112,8199.740315223624,2163,174,0,831,505,190,1700
53033021100,53920.109509278795,299.625415250602,763.2398568293933,13707.340855264589,1584,0,85,660,1066,180,2003
53033021300,0,0,0,11726.196819650573,1744,0,0,689,73,68,830
53033021400,22859.835630207464,5644.632767573093,123.2250000033525,19736.79348056659,1404,163,10,248,173,101,695
53033021500,22258.53095509416,1434.44976695673,8.304519217274116,0,1699,0,0,326,0,24,400
53033021600,11014.046742124792,10886.423686085,604.1531237262178,1413.4041311708938,1847,118,0,391,119,248,934
53033021700,3761.80210121207,0,26.08088379269227,4.25,3656,284,30,627,320,306,1567
53033021802,22617.6754657776,15389.57595499224,23965.737127224347,19996.859673634204,2229,573,900,6461,608,1244,9786
53033021803,890.8464163503113,15672.506208765024,20904.516635377942,1475.9083835896147,2027,381,34,1373,569,225,2583
53033021804,16770.29203746537,0,2052.8177718120323,2941.941481330358,1932,31,0,793,1071,123,2083
53033021903,8077.085447535264,1253.8605593498282,11460.93248565527,4985.975553316246,2500,834,152,2630,4487,634,8737
53033021904,3124.8949680019696,0,5942.605714870627,1586.364731788406,1812,364,170,639,128,852,2152
53033021905,2347.152826468502,0,0,688.7456851334152,2206,16,0,926,292,37,1287
53033021906,2023.6844991203373,4.2750000002132,893.4426741289557,79.4897575956586,1633,143,893,1573,0,860,3470
53033022001,745.909808025092,0,0,0,2262,18,0,717,71,110,925
53033022003,16525.74465646672,15391.294889492037,126.63079804423775,1435.7747669572827,1952,0,0,1075,99,26,1350
53033022005,19427.07668579527,17586.03839561155,108.01716601166011,3794.84582690432,2287,1018,55,2640,392,514,4620
53033022006,64715.13967405295,0,1009.704749560062,12392.42297894582,1808,0,0,602,63,89,882
53033022101,752.085129124436,0,0,499.2675645655705,1813,0,0,316,77,86,492
53033022102,372.954904012546,0,0,0,2424,0,0,180,277,147,681
53033022201,2230.0922256217405,0,450.1779513869325,664.752583888854,1710,96,0,171,132,56,454
53033022202,3187.8375880455933,1282.6610835307065,0,964.9567435919258,3160,78,0,858,102,36,1231
53033022203,1.6437499998385627,0,0,20.497702839793323,1896,64,0,250,80,101,819
53033022300,350.73451862159055,21.5658176142788,534.850137550796,15.93451863196856,1002,0,0,424,82,97,615
53033022400,3450.104689890032,4.024999999714552,7588.347392831807,2511.3563590943236,3681,280,30,1278,512,847,2947
53033022500,2939.947670256135,83.2582132401471,2975.985626930975,4758.976652389152,4090,466,439,6363,214,1465,8946
53033022603,2336.5633544786438,16.1000000008027,557.820954292384,1307.8905811657696,2378,0,0,805,546,174,1570
53033022604,10956.925565471634,11761.00834167568,2036.2697537579297,1452.849899538016,1834,903,21,1077,270,186,2458
53033022605,7527.700815871855,4.27500000021322,1393.4556212356651,192.2021157563689,2579,126,2552,3295,0,586,6559
53033022606,8664.930925301614,178.83579334369398,686.3301127250058,4015.9348220078487,2268,25,0,378,99,5,670
53033022701,10859.708164992884,0,4587.19311491253,940.8224960361271,1486,24,708,6158,0,716,7606
53033022702,13110.690271859552,0,0,12579.053661147436,1423,0,0,794,115,36,1104
53033022703,3851.651877651941,539.6832371760612,911.4915156105855,1232.546484736753,857,73,0,995,74,165,1334
53033022801,1518.3133109923472,30.518551422858643,0,1189.3720967004606,3828,0,59,2474,73,30,2983
53033022802,442.82616835339064,52.13757633696512,351.9974851340927,86.01294669231919,2037,5,0,0,72,82,0
53033022803,5625.616035862313,994.5215052543697,37780.69984769215,12766.105232413265,2334,700,2030,45179,2,1012,48924
53033022901,1116.7240783594755,0,30.669882213714533,816.1004280341607,1019,16,0,366,87,13,493
53033022902,1000.3394086984299,15.6250000012664,0,244.98098258451301,2404,0,0,306,75,33,447
53033023000,531.104752504715,12.2250000006096,1135.54564926307,2120.363881581984,1773,297,0,1344,419,230,2309
53033023100,398.900000017509,12.5000000006235,0,341.5809825887344,1419,0,0,67,26,19,132
53033023201,5366.286781679644,1287.2460456371932,762.0152558066474,6133.219612740723,2695,60,0,992,318,0,1576
53033023202,26667.80430382994,1280.8365555740527,729.954420034454,5133.217287410816,1841,408,89,1722,185,29,2433
53033023300,48911.19791950209,807.6788199207965,2.6512217316158,11929.311195953569,2328,213,0,731,234,28,1226
53033023401,9232.032179658589,1500.277616525198,4174.025834589469,2803.210331609565,1543,704,314,5326,1592,1898,9833
53033023403,3.608351811294169,0,875.9408089863767,205.15059407421515,1589,27,0,2771,390,39,5626
53033023404,463.573561812114,0,231.786780906057,0,1174,0,0,87,10,10,175
53033023500,71.6250000035715,0,0,0,1470,0,0,279,94,65,456
53033023601,5354.509392861028,984.6000000270687,4459.46259105977,17537.184945887715,1750,1627,184,4598,392,1187,7988
